Country Name,Country Code,Series Name,Series Code,2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4],2024Q1 [YR2024Q1],2024Q2 [YR2024Q2],2024Q3 [YR2024Q3],2024Q4 [YR2024Q4],2025Q1 [YR2025Q1]
South Africa,ZAF,"Ext. Assets in Debt Instruments, All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Central Bank, All maturities, All instruments, USD",DT.DOD.DECT.CD.MA.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Central Bank, Long-term, All instruments, USD",DT.DOD.DLXF.CD.MA.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Central Bank, Long-term, Currency and deposits, USD",DT.DOD.DLCD.CD.MA.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Central Bank, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.MA.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Central Bank, Long-term, Loans, USD",DT.DOD.DLTL.CD.MA.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Central Bank, Long-term, Other debt instruments, USD",DT.DOD.DLTO.CD.MA.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Central Bank, Long-term, Special drawing rights (SDRs), USD",DT.DOD.DLTS.CD.MA.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Central Bank, Long-term, Trade credit and advances, USD",DT.DOD.DLTT.CD.MA.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Central Bank, Short-term, All instruments, USD",DT.DOD.DSTC.CD.MA.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Central Bank, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.MA.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Central Bank, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.MA.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Central Bank, Short-term, Loans, USD",DT.DOD.DSTL.CD.MA.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Central Bank, Short-term, Other debt instruments, USD",DT.DOD.DSOO.CD.MA.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Central Bank, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.MA.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Central Bank, Short-term, Unallocated gold accounts included in monetary gold, USD",DT.DOD.DSUN.CD.MA.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Deposit-Taking Corp., exc. CB, All maturities, All instruments, USD",DT.DOD.DECT.CD.CB.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Deposit-Taking Corp., exc. CB, Long-term, All instruments, USD",DT.DOD.DLXF.CD.CB.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Deposit-Taking Corp., exc. CB, Long-term, Currency and deposits , USD",DT.DOD.DLCD.CD.CB.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Deposit-Taking Corp., exc. CB, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.CB.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Deposit-Taking Corp., exc. CB, Long-term, Loans, USD",DT.DOD.DLTL.CD.CB.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Deposit-Taking Corp., exc. CB, Long-term, Other debt instruments, USD",DT.DOD.DLTO.CD.CB.AR.EA.US,..,..,..,..,..,..,..,..,..,..
